"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"A2M","OK",0,60.6508358314581,0.350915928323467,"A2M",0
"ABI3BP","OK",0,87.9783390019723,0.509446616757937,"ABI3BP",0
"ABRACL","OK",0,39.7246709969009,0.22985450554841,"ABRACL",0
"ABTB2","OK",0,71.8009223390377,0.415653058146885,"ABTB2",0
"ACAN","OK",0,130.943505201333,0.758481172131149,"ACAN",0
"ACTA2","OK",0,55.1037369038646,0.318488055943167,"ACTA2",0
"ACTB","OK",0,110.252101523798,0.637822824502404,"ACTB",0
"ADAM12","OK",0,41.3898402610631,0.239436545666336,"ADAM12",0
"ADAMTS1","OK",0,64.0503456956169,0.370826239593378,"ADAMTS1",0
"ADAMTS12","OK",0,71.7477642582317,0.415215020067379,"ADAMTS12",0
"ADAMTS17","OK",0,51.8720904320685,0.300153178366729,"ADAMTS17",0
"ADAMTS3","OK",0,39.827968723829,0.230415655003999,"ADAMTS3",0
"ADAMTS4","OK",0,38.5098269649311,0.222597525358555,"ADAMTS4",0
"ADAMTSL2","OK",0,38.8448779214278,0.224198648069318,"ADAMTSL2",0
"ADGRA2","OK",0,79.9440587294705,0.462892538797855,"ADGRA2",0
"ADGRG6","OK",0,37.7819691067231,0.218127209192708,"ADGRG6",0
"ADH4","OK",0,41.6322604466123,0.240704389742575,"ADH4",0
"AEBP1","OK",0,47.3458720310799,0.274017585648284,"AEBP1",0
"ALDOA","OK",0,38.7071598620334,0.223915842398329,"ALDOA",0
"ALDOB","OK",0,45.7993718802911,0.265008396793165,"ALDOB",0
"ALOX5","OK",0,47.0229768868804,0.271711113555997,"ALOX5",0
"ANGPT1","OK",0,37.657105770359,0.217366023464238,"ANGPT1",0
"ANGPTL2","OK",0,38.006074447477,0.219836665283304,"ANGPTL2",0
"ANLN","OK",0,47.9936325308765,0.277344445725666,"ANLN",0
"ANP32E","OK",0,41.9482437848327,0.242720561057977,"ANP32E",0
"ANPEP","OK",0,54.0637791846311,0.312668555689994,"ANPEP",0
"ANXA1","OK",0,49.3003205793719,0.284442800849436,"ANXA1",0
"APOH","OK",0,63.9657656931121,0.370334610842051,"APOH",0
"ARC","OK",0,41.0856702838792,0.229270569642864,"ARC",0
"ARHGAP4","OK",0,43.657149978045,0.252242577409142,"ARHGAP4",0
"ARHGEF1","OK",0,73.685117183862,0.426645492690705,"ARHGEF1",0
"ARHGEF19","OK",0,40.5909413131472,0.234731286896478,"ARHGEF19",0
"ARPC3","OK",0,38.405324303622,0.222205831763855,"ARPC3",0
"ASPH","OK",0,43.5190038178133,0.251844331853205,"ASPH",0
"ASPN","OK",0,44.8453040605931,0.259508015242396,"ASPN",0
"ATP10A","OK",0,43.9713861277886,0.254421180905009,"ATP10A",0
"ATP5F1C","OK",0,41.2411597414551,0.238646110332283,"ATP5F1C",0
"ATP5IF1","OK",0,40.1378332901713,0.232187126513281,"ATP5IF1",0
"ATP5MC2","OK",0,67.6937744660705,0.391459700178361,"ATP5MC2",0
"ATP5MC3","OK",0,49.9626141006505,0.289111632349538,"ATP5MC3",0
"ATP5MF","OK",0,48.3415003603033,0.279698081581135,"ATP5MF",0
"ATP5MK","OK",0,40.8346759523187,0.236226578019405,"ATP5MK",0
"ATP5PD","OK",0,37.7596593826152,0.218459666089388,"ATP5PD",0
"ATP5PF","OK",0,41.7166027683471,0.24134689273669,"ATP5PF",0
"ATP6","OK",0,76.5819898504947,0.442733957503489,"ATP6",0
"AUTS2","OK",0,51.1621410810504,0.296078519367434,"AUTS2",0
"B3GNT3","OK",0,74.0735444532834,0.425607177631261,"B3GNT3",0
"B4GALNT4","OK",0,58.0402080431134,0.335706781815172,"B4GALNT4",0
"BGN","OK",0,58.6785028509813,0.339667743646059,"BGN",0
"BTF3L4","OK",0,43.1491935688418,0.249607282896882,"BTF3L4",0
"BUB1","OK",0,46.3521733763913,0.267787890287138,"BUB1",0
"C1QTNF1","OK",0,60.6754182561174,0.35049128732213,"C1QTNF1",0
"C3PH5orf15","OK",0,41.7244206659622,0.241439676355626,"C3PH5orf15",0
"C3QH17orf67","OK",0,98.0673932804423,0.567565322885395,"C3QH17orf67",0
"CALD1","OK",0,62.2863709417731,0.360606283253713,"CALD1",0
"CALM2","OK",0,50.3782180123839,0.291538354091315,"CALM2",0
"CD2","OK",0,42.6608947879052,0.246854068824946,"CD2",0
"CD63","OK",0,46.756982986071,0.270539308717757,"CD63",0
"CDH11","OK",0,91.9047634543968,0.532272771359866,"CDH11",0
"CDH13","OK",0,68.0378053607575,0.39394753191236,"CDH13",0
"CDON","OK",0,39.765594845217,0.230032409558781,"CDON",0
"CEBPB","OK",0,39.2839552758003,0.227189919953511,"CEBPB",0
"CEBPD","OK",0,47.5348802658772,0.275112905929521,"CEBPD",0
"CENPF","OK",0,51.5817887807247,0.298011415819858,"CENPF",0
"CFB","OK",0,61.5170993226898,0.354568719936758,"CFB",0
"CFL2","OK",0,41.0802155715862,0.237291892491848,"CFL2",0
"CHAD","OK",0,77.4285878577533,0.447951715116101,"CHAD",0
"CHADL","OK",0,39.6783451481438,0.22923648568133,"CHADL",0
"CHODL","OK",0,65.8915756309446,0.381088087774862,"CHODL",0
"CHRDL2","OK",0,56.3198773143199,0.325890193526372,"CHRDL2",0
"CHST11","OK",0,62.1355976313574,0.359634538262035,"CHST11",0
"CHST3","OK",0,51.7288568492792,0.299238745314506,"CHST3",0
"CHSY3","OK",0,77.8739745085205,0.450947508554093,"CHSY3",0
"CILP","OK",0,44.0130686245476,0.254383534426341,"CILP",0
"CILP2","OK",0,48.2078885668634,0.278910215667848,"CILP2",0
"CIRBP","OK",0,116.414381124471,0.673055596944248,"CIRBP",0
"CIRP","OK",0,60.3192245158489,0.348744473451686,"CIRP",0
"CKB","OK",0,44.5323601129757,0.257716280551023,"CKB",0
"CKS1B","OK",0,46.2199985352887,0.266999637511263,"CKS1B",0
"CLCF1","OK",0,55.94317103093,0.323815109559647,"CLCF1",0
"CLDN5","OK",0,46.8829752538487,0.271016046554858,"CLDN5",0
"CLEC3A","OK",0,110.241397380914,0.637867271429465,"CLEC3A",0
"CLIC1","OK",0,44.1056876040679,0.255244088522247,"CLIC1",0
"CNMD","OK",0,133.940256180669,0.775720358733909,"CNMD",0
"CNTFR","OK",0,42.2417875399311,0.244219813797436,"CNTFR",0
"COCH","OK",0,61.5424703403165,0.356058377152673,"COCH",0
"COL11A1","OK",0,65.5064626152043,0.378962942921108,"COL11A1",0
"COL11A2","OK",0,87.6738801100715,0.507741544808897,"COL11A2",0
"COL12A1","OK",0,85.9886321831478,0.497912167530393,"COL12A1",0
"COL13A1","OK",0,53.3082930848879,0.308489205045464,"COL13A1",0
"COL1A1","OK",0,135.516772364247,0.784728650245642,"COL1A1",0
"COL1A2","OK",0,132.908667814337,0.769527555383592,"COL1A2",0
"COL24A1","OK",0,71.8807617300772,0.416095900211157,"COL24A1",0
"COL25A1","OK",0,44.421910766989,0.256933153565081,"COL25A1",0
"COL26A1","OK",0,80.486545298898,0.465793750043676,"COL26A1",0
"COL27A1","OK",0,103.182698194455,0.597553207221151,"COL27A1",0
"COL2A1","OK",0,100.549185552293,0.582324922911501,"COL2A1",0
"COL3A1","OK",0,88.555124109812,0.51254127680643,"COL3A1",0
"COL4A1","OK",0,69.6333796959477,0.402919516438318,"COL4A1",0
"COL4A2","OK",0,58.9380487340393,0.340969239933289,"COL4A2",0
"COL5A1","OK",0,71.0888602736213,0.411540799685492,"COL5A1",0
"COL5A2","OK",0,84.8348227318174,0.491144788901904,"COL5A2",0
"COL5A3","OK",0,49.4537036910464,0.285917916557876,"COL5A3",0
"COL6A1","OK",0,70.7082186243332,0.409342884419961,"COL6A1",0
"COL6A2","OK",0,60.9817962007734,0.353018734361374,"COL6A2",0
"COL6A3","OK",0,68.218932559293,0.394967443485347,"COL6A3",0
"COL8A2","OK",0,40.9239770849548,0.236502869230092,"COL8A2",0
"COL9A1","OK",0,138.67993139336,0.803358456451839,"COL9A1",0
"COL9A2","OK",0,130.676950545097,0.756946315725514,"COL9A2",0
"COL9A3","OK",0,131.021296818233,0.758923911378082,"COL9A3",0
"COMP","OK",0,113.967823387355,0.660147873225095,"COMP",0
"COX1","OK",0,83.4867129687611,0.482880742002518,"COX1",0
"COX2","OK",0,79.2823717692039,0.458382554259906,"COX2",0
"COX3","OK",0,97.3968874695672,0.563555128604547,"COX3",0
"COX4I1","OK",0,45.2371897094526,0.261774236767366,"COX4I1",0
"COX4I2","OK",0,37.578237911293,0.217342129012843,"COX4I2",0
"COX5A","OK",0,43.830817930684,0.253656065433443,"COX5A",0
"COX5B","OK",0,40.1304881295653,0.232200025127093,"COX5B",0
"COX6A1","OK",0,43.8662089521368,0.253799151900558,"COX6A1",0
"COX6B1","OK",0,38.3498480629242,0.221769762201232,"COX6B1",0
"COX6C","OK",0,50.0356496274857,0.289550684638261,"COX6C",0
"COX7A2","OK",0,49.2588743340964,0.284996289558531,"COX7A2",0
"COX7B","OK",0,40.828593058987,0.236240162357274,"COX7B",0
"CPA6","OK",0,67.9369133764758,0.392766573430769,"CPA6",0
